algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,0,5269,78,135,0.06,True
DFS,0,8878,4708,12939,0.79,True
DFSL,0,84,inf,inf,0.0,False
UCS1,0,5238,78,135,0.07,True
UCS2,0,5624,135,135,0.07,True
Random,0,1542,inf,inf,0.04,False
A*,0,114,78,135,0.0,True
BFS,1,809,22,23,0.01,True
DFS,1,7465,6780,18835,0.43,True
DFSL,1,73,inf,inf,0.0,False
UCS1,1,851,22,23,0.01,True
UCS2,1,215,23,23,0.0,True
Random,1,2161,inf,inf,0.04,False
A*,1,22,22,23,0.0,True
BFS,2,7527,106,160,0.09,True
DFS,2,7428,6996,19342,0.45,True
DFSL,2,65,inf,inf,0.0,False
UCS1,2,7483,106,160,0.1,True
UCS2,2,7558,160,160,0.1,True
Random,2,1827,inf,inf,0.04,False
A*,2,390,106,160,0.0,True
BFS,3,6506,80,316,0.07,True
DFS,3,4882,4546,12652,0.15,True
DFSL,3,65,inf,inf,0.0,False
UCS1,3,6416,80,316,0.08,True
UCS2,3,7410,316,316,0.09,True
Random,3,1588,inf,inf,0.04,False
A*,3,80,80,316,0.0,True
BFS,4,9019,132,336,0.1,True
DFS,4,6787,6032,16838,0.27,True
DFSL,4,113,inf,inf,0.0,False
UCS1,4,9013,132,336,0.11,True
UCS2,4,8928,336,336,0.11,True
Random,4,1636,inf,inf,0.04,False
A*,4,236,132,336,0.0,True
BFS,5,7800,95,260,0.09,True
DFS,5,853,827,2302,0.01,True
DFSL,5,86,inf,inf,0.0,False
UCS1,5,7786,95,260,0.09,True
UCS2,5,7718,260,260,0.1,True
Random,5,1892,inf,inf,0.04,False
A*,5,1213,95,260,0.01,True
BFS,6,5066,56,102,0.06,True
DFS,6,7672,7120,19668,0.44,True
DFSL,6,68,inf,inf,0.0,False
UCS1,6,5156,56,102,0.06,True
UCS2,6,3047,102,102,0.04,True
Random,6,1459,4963,12370,0.02,True
A*,6,397,56,102,0.0,True
BFS,7,3304,57,216,0.04,True
DFS,7,7732,7351,20352,0.44,True
DFSL,7,98,inf,inf,0.0,False
UCS1,7,3299,57,216,0.04,True
UCS2,7,4148,216,216,0.05,True
Random,7,2319,inf,inf,0.04,False
A*,7,57,57,216,0.0,True
BFS,8,1932,37,125,0.02,True
DFS,8,1527,1389,3915,0.02,True
DFSL,8,110,inf,inf,0.0,False
UCS1,8,1905,37,125,0.02,True
UCS2,8,2999,125,125,0.04,True
Random,8,2403,inf,inf,0.04,False
A*,8,94,37,125,0.0,True
BFS,9,8242,110,326,0.1,True
DFS,9,7207,6250,17394,0.34,True
DFSL,9,84,inf,inf,0.0,False
UCS1,9,8270,110,326,0.11,True
UCS2,9,6968,326,326,0.08,True
Random,9,1547,inf,inf,0.04,False
A*,9,163,110,326,0.0,True
BFS,10,5671,89,329,0.07,True
DFS,10,5070,4763,13221,0.16,True
DFSL,10,68,inf,inf,0.0,False
UCS1,10,5612,89,329,0.07,True
UCS2,10,6506,329,329,0.08,True
Random,10,1371,inf,inf,0.04,False
A*,10,145,89,329,0.0,True
BFS,11,1722,36,91,0.02,True
DFS,11,5323,5058,14071,0.18,True
DFSL,11,75,inf,inf,0.0,False
UCS1,11,1724,36,91,0.02,True
UCS2,11,1785,91,91,0.02,True
Random,11,404,1428,3603,0.0,True
A*,11,240,36,91,0.0,True
BFS,12,7383,88,97,0.09,True
DFS,12,8101,7494,20695,0.53,True
DFSL,12,83,inf,inf,0.0,False
UCS1,12,7428,88,97,0.09,True
UCS2,12,3970,97,97,0.05,True
Random,12,2208,inf,inf,0.04,False
