algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,0,5269,78,135,0.06,True
DFS,0,9214,inf,inf,0.75,False
DFSL,0,84,inf,inf,0.0,False
UCS1,0,5238,78,135,0.06,True
UCS2,0,5624,135,135,0.07,True
Random,0,305,inf,inf,0.0,False
A*,0,114,78,135,0.0,True
BFS,1,679,20,23,0.01,True
DFS,1,9209,inf,inf,0.61,False
DFSL,1,74,inf,inf,0.0,False
UCS1,1,711,20,23,0.01,True
UCS2,1,225,23,23,0.0,True
Random,1,254,744,1849,0.0,True
A*,1,25,20,23,0.0,True
BFS,2,3534,57,224,0.04,True
DFS,2,57,57,224,0.0,True
DFSL,2,94,inf,inf,0.0,False
UCS1,2,3444,57,224,0.04,True
UCS2,2,8358,224,224,0.1,True
Random,2,233,inf,inf,0.0,False
A*,2,57,57,224,0.0,True
BFS,3,6027,95,311,0.07,True
DFS,3,9167,inf,inf,0.3,False
DFSL,3,61,inf,inf,0.0,False
UCS1,3,6022,95,311,0.07,True
UCS2,3,6378,311,311,0.08,True
Random,3,233,inf,inf,0.0,False
A*,3,120,95,311,0.0,True
BFS,4,6404,102,230,0.07,True
DFS,4,9195,inf,inf,0.63,False
DFSL,4,63,inf,inf,0.0,False
UCS1,4,6462,102,230,0.08,True
UCS2,4,5233,230,230,0.06,True
Random,4,166,inf,inf,0.0,False
A*,4,1809,102,230,0.02,True
BFS,5,2712,48,177,0.03,True
DFS,5,487,476,1391,0.0,True
DFSL,5,72,inf,inf,0.0,False
UCS1,5,2688,48,177,0.03,True
UCS2,5,4868,177,177,0.06,True
Random,5,255,inf,inf,0.0,False
A*,5,55,48,177,0.0,True
BFS,6,8122,114,188,0.1,True
DFS,6,9143,inf,inf,0.55,False
DFSL,6,72,inf,inf,0.0,False
UCS1,6,8122,114,188,0.1,True
UCS2,6,7354,188,188,0.09,True
Random,6,287,inf,inf,0.0,False
A*,6,2566,114,188,0.02,True
BFS,7,8143,92,229,0.09,True
DFS,7,9169,inf,inf,0.65,False
DFSL,7,88,inf,inf,0.0,False
UCS1,7,8127,92,229,0.1,True
UCS2,7,7978,229,229,0.1,True
