algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,0,5704,79,190,0.806190013885498,True
DFS,0,4946,4384,12154,1.0129327774047852,True
DFS_Limited,0,186,inf,inf,0.02469468116760254,False
UCS_1,0,5663,78,92,0.81475830078125,True
UCS_2,0,6066,135,135,0.8700206279754639,True
Random,0,8,inf,inf,0.0,False
A*,0,145,54,85,0.02009749412536621,True
BFS,1,5653,62,108,0.7947015762329102,True
DFS,1,9878,1862,5209,6.013710021972656,True
DFS_Limited,1,227,inf,inf,0.033776283264160156,False
UCS_1,1,5608,62,227,0.7944333553314209,True
UCS_2,1,8752,191,191,1.2487282752990723,True
Random,1,13,inf,inf,0.0,False
A*,1,141,60,188,0.018413066864013672,True
BFS,2,9230,120,295,1.3042805194854736,True
DFS,2,3802,3533,9683,0.6706080436706543,True
DFS_Limited,2,81,inf,inf,0.011520147323608398,False
UCS_1,2,9208,120,295,1.3516178131103516,True
UCS_2,2,9327,295,295,1.3417112827301025,True
Random,2,6,inf,inf,0.0,False
A*,2,3251,120,295,0.4330601692199707,True
BFS,3,7451,72,282,1.0559756755828857,True
DFS,3,1770,1658,4688,0.2622220516204834,True
DFS_Limited,3,149,inf,inf,0.0190122127532959,False
UCS_1,3,7344,72,282,1.0651633739471436,True
UCS_2,3,8468,282,282,1.2113935947418213,True
Random,3,21,inf,inf,0.0,False
A*,3,78,72,282,0.00969386100769043,True
BFS,4,6323,83,269,0.8899061679840088,True
DFS,4,3355,2972,8247,0.5725460052490234,True
DFS_Limited,4,219,inf,inf,0.029521703720092773,False
UCS_1,4,6369,83,269,0.9182708263397217,True
UCS_2,4,5752,269,269,0.8167085647583008,True
Random,4,1,inf,inf,0.0,False
A*,4,286,83,269,0.03897571563720703,True
BFS,5,133,8,30,0.0190126895904541,True
DFS,5,2431,2260,6278,0.38531064987182617,True
DFS_Limited,5,15,8,30,0.0016012191772460938,True
UCS_1,5,108,8,30,0.014509201049804688,True
UCS_2,5,406,30,30,0.05855083465576172,True
Random,5,8,inf,inf,0.0,False
A*,5,8,8,30,0.0020003318786621094,True
BFS,6,197,10,22,0.02852916717529297,True
DFS,6,8088,7357,20282,3.4878525733947754,True
DFS_Limited,6,223,inf,inf,0.030861377716064453,False
UCS_1,6,213,10,22,0.0291292667388916,True
UCS_2,6,231,22,22,0.034577369689941406,True
Random,6,41,inf,inf,0.0,False
A*,6,25,10,22,0.0027115345001220703,True
BFS,7,7034,92,183,1.0139226913452148,True
DFS,7,4285,3828,10599,0.7940690517425537,True
DFS_Limited,7,103,inf,inf,0.016796588897705078,False
UCS_1,7,6952,92,152,0.9934687614440918,True
UCS_2,7,8059,158,158,1.1566977500915527,True
Random,7,25,inf,inf,0.0017724037170410156,False
A*,7,198,80,182,0.0263671875,True
BFS,8,1760,43,143,0.2467038631439209,True
DFS,8,7405,6821,18822,2.705078363418579,True
DFS_Limited,8,90,inf,inf,0.01353144645690918,False
UCS_1,8,1766,43,143,0.2494063377380371,True
UCS_2,8,1755,143,143,0.2478468418121338,True
Random,8,6,inf,inf,0.0,False
A*,8,76,43,143,0.010725021362304688,True
BFS,9,7873,115,386,1.1133484840393066,True
DFS,9,2317,2151,5983,0.3561697006225586,True
DFS_Limited,9,131,inf,inf,0.016788721084594727,False
UCS_1,9,7898,115,386,1.133455753326416,True
UCS_2,9,7575,386,386,1.0994510650634766,True
Random,9,11,inf,inf,0.0,False
A*,9,402,115,386,0.05455207824707031,True
BFS,10,6203,98,302,0.8775408267974854,True
DFS,10,6810,6036,16743,1.971346139907837,True
DFS_Limited,10,184,inf,inf,0.0245668888092041,False
UCS_1,10,6215,98,152,0.8953051567077637,True
UCS_2,10,4857,221,221,0.6969425678253174,True
Random,10,3,inf,inf,0.0,False
A*,10,205,90,237,0.02778005599975586,True
BFS,11,3685,45,63,0.5129518508911133,True
DFS,11,6871,6160,17108,2.1290135383605957,True
DFS_Limited,11,190,inf,inf,0.026522397994995117,False
UCS_1,11,3694,45,169,0.5321102142333984,True
UCS_2,11,4520,153,153,0.6500639915466309,True
Random,11,6,inf,inf,0.0,False
A*,11,98,39,136,0.013375997543334961,True
BFS,12,9206,118,150,1.303199291229248,True
DFS,12,9305,8519,23500,5.129761457443237,True
DFS_Limited,12,124,inf,inf,0.017021894454956055,False
UCS_1,12,9249,118,260,1.318385124206543,True
UCS_2,12,8174,211,211,1.170412540435791,True
Random,12,2,inf,inf,0.0,False
A*,12,982,110,226,0.13170886039733887,True
BFS,13,6612,88,307,0.9342033863067627,True
DFS,13,2378,2142,5978,0.36866164207458496,True
DFS_Limited,13,131,inf,inf,0.018474102020263672,False
UCS_1,13,6561,88,307,0.9538483619689941,True
UCS_2,13,7390,307,307,1.1202020645141602,True
Random,13,2,inf,inf,0.0015044212341308594,False
A*,13,150,88,307,0.021016359329223633,True
BFS,14,4591,62,108,0.6909224987030029,True
DFS,14,4408,4080,11276,0.8846876621246338,True
DFS_Limited,14,104,inf,inf,0.014019012451171875,False
UCS_1,14,4565,62,97,0.6959612369537354,True
UCS_2,14,5437,125,125,0.8435831069946289,True
Random,14,4,inf,inf,0.0,False
A*,14,164,52,122,0.023339271545410156,True
BFS,15,1459,45,59,0.22176456451416016,True
DFS,15,736,681,1877,0.11013579368591309,True
DFS_Limited,15,183,inf,inf,0.026018142700195312,False
UCS_1,15,1452,45,68,0.21825551986694336,True
UCS_2,15,1377,63,63,0.20770263671875,True
Random,15,14,inf,inf,0.0,False
A*,15,92,33,55,0.012726306915283203,True
BFS,16,2484,42,151,0.37276649475097656,True
DFS,16,4581,3895,10697,0.8796422481536865,True
DFS_Limited,16,111,inf,inf,0.017011404037475586,False
UCS_1,16,2502,42,75,0.3760998249053955,True
UCS_2,16,1028,47,47,0.15744447708129883,True
Random,16,5,inf,inf,0.0,False
A*,16,101,27,50,0.015028715133666992,True
BFS,17,8507,111,413,1.2798852920532227,True
DFS,17,3144,2912,8275,0.5511751174926758,True
DFS_Limited,17,206,inf,inf,0.02962183952331543,False
UCS_1,17,8465,111,413,1.304706335067749,True
UCS_2,17,8766,413,413,1.3287549018859863,True
Random,17,22,inf,inf,0.0,False
A*,17,142,111,413,0.022017955780029297,True
BFS,18,9519,119,320,1.426868200302124,True
DFS,18,3580,3286,9174,0.6433353424072266,True
DFS_Limited,18,129,inf,inf,0.017420291900634766,False
UCS_1,18,9499,119,194,1.6000375747680664,True
UCS_2,18,9742,263,263,1.4751982688903809,True
Random,18,4,inf,inf,0.0,False
A*,18,350,90,219,0.0501708984375,True
BFS,19,258,12,28,0.039562225341796875,True
DFS,19,6856,6238,17242,2.301922559738159,True
