Algorithm,N,Solution,States Evaluated,Execution Time,Conflicts
Hill Climbing,4,"[3, 1, 0, 2]",19,0.0,1
Hill Climbing,4,"[0, 1, 3, 2]",18,0.0010802745819091797,2
Hill Climbing,4,"[1, 3, 0, 2]",12,0.0,0
Hill Climbing,4,"[0, 3, 1, 2]",19,0.0,1
Hill Climbing,4,"[1, 3, 0, 2]",18,0.0,0
Hill Climbing,4,"[0, 2, 3, 1]",13,0.0,1
Hill Climbing,4,"[1, 3, 0, 2]",6,0.0,0
Hill Climbing,4,"[1, 3, 0, 2]",19,0.0,0
Hill Climbing,4,"[0, 1, 3, 2]",18,0.0,2
Hill Climbing,4,"[2, 0, 3, 1]",13,0.0,0
Hill Climbing,4,"[0, 1, 3, 2]",17,0.0,2
Hill Climbing,4,"[1, 3, 0, 2]",8,0.0,0
Hill Climbing,4,"[0, 3, 1, 2]",18,0.0,1
Hill Climbing,4,"[2, 0, 3, 1]",7,0.0,0
Hill Climbing,4,"[2, 0, 3, 1]",7,0.0,0
Hill Climbing,4,"[3, 0, 2, 1]",27,0.0,1
Hill Climbing,4,"[2, 0, 3, 1]",10,0.0,0
Hill Climbing,4,"[0, 3, 1, 2]",19,0.0,1
Hill Climbing,4,"[2, 0, 3, 1]",14,0.0,0
Hill Climbing,4,"[2, 0, 3, 1]",11,0.0,0
Hill Climbing,4,"[1, 3, 0, 2]",2,0.0,0
Hill Climbing,4,"[0, 3, 1, 2]",19,0.0,1
Hill Climbing,4,"[3, 0, 2, 1]",23,0.0,1
Hill Climbing,4,"[3, 0, 2, 1]",16,0.0,1
Hill Climbing,4,"[0, 2, 3, 1]",22,0.0,1
Hill Climbing,4,"[3, 0, 2, 1]",26,0.0,1
Hill Climbing,4,"[1, 0, 2, 3]",12,0.0,2
Hill Climbing,4,"[1, 3, 0, 2]",13,0.0,0
Hill Climbing,4,"[3, 0, 2, 1]",16,0.0,1
Hill Climbing,4,"[0, 1, 3, 2]",18,0.0,2
Hill Climbing,8,"[6, 4, 0, 0, 3, 7, 2, 2]",127,0.0,2
Hill Climbing,8,"[1, 4, 7, 3, 6, 2, 5, 0]",158,0.001505136489868164,1
Hill Climbing,8,"[4, 1, 6, 2, 5, 7, 0, 3]",131,0.002007722854614258,1
Hill Climbing,8,"[3, 0, 4, 6, 1, 5, 7, 0]",117,0.0,2
Hill Climbing,8,"[4, 2, 5, 1, 6, 0, 3, 7]",129,0.0013015270233154297,1
Hill Climbing,8,"[4, 7, 1, 6, 6, 2, 0, 5]",114,0.0010068416595458984,1
Hill Climbing,8,"[5, 3, 0, 4, 6, 1, 2, 7]",179,0.0009987354278564453,2
Hill Climbing,8,"[4, 6, 0, 2, 7, 5, 3, 1]",166,0.0010008811950683594,0
Hill Climbing,8,"[0, 5, 7, 1, 3, 0, 2, 4]",281,0.0009984970092773438,1
Hill Climbing,8,"[0, 3, 5, 2, 2, 6, 7, 1]",67,0.0,2
Hill Climbing,8,"[5, 4, 1, 3, 6, 6, 2, 0]",139,0.0010004043579101562,2
Hill Climbing,8,"[7, 0, 2, 5, 2, 6, 3, 1]",185,0.0,2
Hill Climbing,8,"[7, 0, 2, 5, 1, 6, 0, 3]",137,0.0,1
Hill Climbing,8,"[0, 7, 4, 2, 5, 6, 1, 3]",123,0.0015041828155517578,1
Hill Climbing,8,"[2, 0, 6, 3, 7, 0, 4, 1]",195,0.0010044574737548828,2
Hill Climbing,8,"[2, 0, 6, 1, 3, 5, 7, 4]",170,0.0,1
Hill Climbing,8,"[5, 2, 0, 7, 4, 1, 3, 6]",152,0.0010008811950683594,0
Hill Climbing,8,"[7, 1, 4, 0, 0, 3, 5, 2]",214,0.0010006427764892578,1
Hill Climbing,8,"[1, 7, 5, 2, 0, 7, 4, 4]",124,0.0010001659393310547,2
Hill Climbing,8,"[0, 4, 1, 7, 6, 2, 2, 5]",124,0.0,2
Hill Climbing,8,"[6, 1, 7, 2, 0, 2, 4, 5]",138,0.0010197162628173828,2
Hill Climbing,8,"[6, 3, 7, 2, 0, 5, 1, 4]",132,0.0,1
Hill Climbing,8,"[7, 0, 3, 6, 4, 1, 5, 2]",116,0.0009970664978027344,2
Hill Climbing,8,"[2, 4, 7, 0, 3, 1, 6, 5]",167,0.0,1
Hill Climbing,8,"[6, 4, 7, 1, 3, 5, 2, 0]",217,0.000982522964477539,1
Hill Climbing,8,"[1, 7, 2, 0, 6, 4, 5, 0]",111,0.0010008811950683594,2
Hill Climbing,8,"[1, 3, 7, 2, 4, 2, 0, 5]",170,0.0,1
Hill Climbing,8,"[0, 5, 1, 6, 6, 3, 7, 4]",220,0.001001119613647461,1
Hill Climbing,8,"[5, 0, 7, 3, 6, 2, 4, 1]",126,0.001043558120727539,2
Hill Climbing,8,"[1, 3, 0, 7, 4, 2, 5, 2]",73,0.0,1
Hill Climbing,10,"[6, 8, 5, 2, 0, 3, 4, 7, 9, 1]",201,0.0009992122650146484,2
Hill Climbing,10,"[8, 6, 1, 7, 5, 0, 0, 4, 4, 9]",395,0.0019989013671875,2
Hill Climbing,10,"[7, 1, 4, 9, 5, 0, 3, 6, 2, 8]",306,0.002501964569091797,2
Hill Climbing,10,"[2, 4, 7, 1, 8, 9, 5, 3, 0, 6]",243,0.001004934310913086,1
Hill Climbing,10,"[7, 5, 2, 0, 9, 6, 4, 1, 1, 8]",376,0.003002166748046875,1
Hill Climbing,10,"[7, 9, 0, 2, 5, 1, 8, 1, 3, 6]",226,0.0010001659393310547,1
Hill Climbing,10,"[3, 5, 0, 9, 4, 1, 7, 2, 2, 6]",260,0.002001523971557617,2
Hill Climbing,10,"[5, 9, 1, 6, 2, 3, 7, 0, 4, 6]",286,0.0009989738464355469,2
Hill Climbing,10,"[4, 9, 1, 5, 7, 2, 0, 8, 6, 0]",284,0.0025053024291992188,1
Hill Climbing,10,"[6, 3, 0, 7, 1, 2, 5, 7, 9, 4]",208,0.0010001659393310547,2
Hill Climbing,10,"[2, 9, 5, 1, 4, 1, 7, 6, 3, 0]",258,0.0010018348693847656,2
Hill Climbing,10,"[9, 4, 2, 8, 3, 7, 0, 1, 6, 5]",217,0.0010027885437011719,2
Hill Climbing,10,"[9, 2, 5, 8, 0, 7, 4, 1, 3, 6]",371,0.0019974708557128906,1
Hill Climbing,10,"[1, 7, 4, 6, 8, 0, 5, 0, 2, 9]",310,0.002000093460083008,1
Hill Climbing,10,"[7, 1, 6, 9, 2, 0, 8, 3, 5, 2]",271,0.0009996891021728516,1
Hill Climbing,10,"[3, 8, 4, 1, 9, 0, 2, 7, 5, 2]",294,0.0015015602111816406,2
Hill Climbing,10,"[1, 8, 2, 0, 6, 9, 5, 5, 0, 4]",318,0.002004384994506836,2
Hill Climbing,10,"[9, 6, 3, 0, 2, 8, 4, 1, 7, 5]",409,0.0020008087158203125,1
Hill Climbing,10,"[6, 0, 7, 1, 8, 5, 9, 1, 4, 2]",401,0.0020003318786621094,2
Hill Climbing,10,"[6, 8, 3, 1, 3, 5, 9, 4, 0, 4]",296,0.002002239227294922,2
Hill Climbing,10,"[8, 2, 9, 3, 1, 7, 5, 0, 6, 4]",224,0.0016090869903564453,1
Hill Climbing,10,"[2, 8, 3, 1, 7, 5, 0, 0, 4, 6]",255,0.0008959770202636719,1
Hill Climbing,10,"[2, 4, 6, 0, 0, 5, 1, 8, 9, 7]",244,0.0010001659393310547,2
Hill Climbing,10,"[5, 7, 1, 1, 6, 8, 0, 4, 3, 9]",306,0.0020024776458740234,2
Hill Climbing,10,"[3, 5, 0, 8, 0, 7, 7, 2, 8, 1]",197,0.00099945068359375,3
Hill Climbing,10,"[7, 1, 6, 9, 5, 0, 4, 3, 5, 8]",264,0.0019998550415039062,2
Hill Climbing,10,"[2, 0, 3, 6, 9, 1, 1, 4, 8, 7]",170,0.0009996891021728516,2
