Board Size,Algorithm,Iteration,Time,States Explored
4,BT,1,0.0,26
4,BT,2,0.0,26
4,BT,3,0.0,26
4,BT,4,0.0,26
4,BT,5,0.0,26
4,BT,6,0.0,26
4,BT,7,0.0,26
4,BT,8,0.0,26
4,BT,9,0.0,26
4,BT,10,0.0,26
4,BT,11,0.0,26
4,BT,12,0.0,26
4,BT,13,0.0,26
4,BT,14,0.0,26
4,BT,15,0.0,26
4,BT,16,0.0,26
4,BT,17,0.0,26
4,BT,18,0.0,26
4,BT,19,0.0,26
4,BT,20,0.0,26
4,BT,21,0.0,26
4,BT,22,0.0,26
4,BT,23,0.0,26
4,BT,24,0.0,26
4,BT,25,0.0,26
4,BT,26,0.0,26
4,BT,27,0.0,26
4,BT,28,0.0,26
4,BT,29,0.0,26
4,BT,30,0.0,26
4,FC,1,0.0,8
4,FC,2,0.0,8
4,FC,3,0.0,8
4,FC,4,0.0,8
4,FC,5,0.0,8
4,FC,6,0.0,8
4,FC,7,0.0,8
4,FC,8,0.0,8
4,FC,9,0.0,8
4,FC,10,0.0,8
4,FC,11,0.0,8
4,FC,12,0.0,8
4,FC,13,0.0,8
4,FC,14,0.0,8
4,FC,15,0.0,8
4,FC,16,0.0,8
4,FC,17,0.0,8
4,FC,18,0.0,8
4,FC,19,0.0,8
4,FC,20,0.0,8
4,FC,21,0.0,8
4,FC,22,0.0,8
4,FC,23,0.0,8
4,FC,24,0.0,8
4,FC,25,0.0,8
4,FC,26,0.0,8
4,FC,27,0.0,8
4,FC,28,0.0,8
4,FC,29,0.0,8
4,FC,30,0.0,8
8,BT,1,0.0,876
8,BT,2,0.0,876
8,BT,3,0.0,876
8,BT,4,0.0,876
8,BT,5,0.0,876
8,BT,6,0.0,876
8,BT,7,0.0,876
8,BT,8,0.0,876
8,BT,9,0.0,876
8,BT,10,0.0,876
8,BT,11,0.0,876
8,BT,12,0.0,876
8,BT,13,0.0,876
8,BT,14,0.0,876
8,BT,15,0.0,876
8,BT,16,0.0,876
8,BT,17,0.0,876
8,BT,18,0.0,876
8,BT,19,0.0,876
8,BT,20,0.0,876
8,BT,21,0.0,876
8,BT,22,0.0,876
8,BT,23,0.0,876
8,BT,24,0.0,876
8,BT,25,0.0,876
8,BT,26,0.0,876
8,BT,27,0.016396760940551758,876
8,BT,28,0.0,876
8,BT,29,0.0,876
8,BT,30,0.0,876
8,FC,1,0.0,113
8,FC,2,0.0,113
8,FC,3,0.0,113
8,FC,4,0.0,113
8,FC,5,0.0,113
8,FC,6,0.0,113
8,FC,7,0.0,113
8,FC,8,0.0,113
8,FC,9,0.0,113
8,FC,10,0.0,113
8,FC,11,0.0,113
8,FC,12,0.0,113
8,FC,13,0.0,113
8,FC,14,0.0,113
8,FC,15,0.0,113
8,FC,16,0.0,113
8,FC,17,0.0,113
8,FC,18,0.0,113
8,FC,19,0.0,113
8,FC,20,0.0,113
8,FC,21,0.0,113
8,FC,22,0.0,113
8,FC,23,0.0,113
8,FC,24,0.0,113
8,FC,25,0.0,113
8,FC,26,0.0,113
8,FC,27,0.0,113
8,FC,28,0.0,113
8,FC,29,0.0,113
8,FC,30,0.0,113
10,BT,1,0.0,975
10,BT,2,0.0,975
10,BT,3,0.0,975
10,BT,4,0.0,975
10,BT,5,0.0,975
10,BT,6,0.0,975
10,BT,7,0.0,975
10,BT,8,0.0,975
10,BT,9,0.0,975
10,BT,10,0.0,975
10,BT,11,0.015628337860107422,975
10,BT,12,0.0010306835174560547,975
10,BT,13,0.0,975
10,BT,14,0.0,975
10,BT,15,0.0,975
10,BT,16,0.0,975
10,BT,17,0.0,975
10,BT,18,0.0,975
10,BT,19,0.0,975
10,BT,20,0.0,975
10,BT,21,0.0,975
10,BT,22,0.0,975
10,BT,23,0.0,975
10,BT,24,0.0,975
10,BT,25,0.0,975
10,BT,26,0.0,975
10,BT,27,0.0,975
10,BT,28,0.0,975
10,BT,29,0.0,975
10,BT,30,0.0,975
10,FC,1,0.0,87
10,FC,2,0.0,87
10,FC,3,0.0,87
10,FC,4,0.0,87
10,FC,5,0.0,87
10,FC,6,0.0,87
10,FC,7,0.0,87
10,FC,8,0.0,87
10,FC,9,0.0,87
10,FC,10,0.0,87
10,FC,11,0.0,87
10,FC,12,0.0,87
10,FC,13,0.0,87
10,FC,14,0.0,87
10,FC,15,0.0,87
10,FC,16,0.0,87
10,FC,17,0.0,87
10,FC,18,0.0,87
10,FC,19,0.0,87
10,FC,20,0.0,87
10,FC,21,0.0,87
10,FC,22,0.015520095825195312,87
10,FC,23,0.0008726119995117188,87
10,FC,24,0.0,87
10,FC,25,0.0,87
10,FC,26,0.0,87
10,FC,27,0.0,87
10,FC,28,0.0,87
10,FC,29,0.0,87
10,FC,30,0.0,87
