id,inclinacion_peligrosa
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,0
88,0
89,1
90,1
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,1
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,1
278,0
